cve_ent,entidad,cve_alc,alc,cve_col,colonia,clasif,nombre_completo,es_colonia_formal,sin_geometria,geom_type,fecha_procesamiento
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-001,AGUILERA,COLONIA,AZCAPOTZALCO > AGUILERA (COLONIA),True,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-002,ALDANA,COLONIA,AZCAPOTZALCO > ALDANA (COLONIA),True,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-003,AMPLIACION COSMOPOLITA,COLONIA,AZCAPOTZALCO > AMPLIACION COSMOPOLITA (COLONIA),True,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-004,AMPLIACION DEL GAS,COLONIA,AZCAPOTZALCO > AMPLIACION DEL GAS (COLONIA),True,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-005,AMPLIACION PETROLERA,COLONIA,AZCAPOTZALCO > AMPLIACION PETROLERA (COLONIA),True,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-006,AMPLIACION SAN PEDRO XALPA,COLONIA,AZCAPOTZALCO > AMPLIACION SAN PEDRO XALPA (COLONIA),True,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-007,ANGEL ZIMBRON,COLONIA,AZCAPOTZALCO > ANGEL ZIMBRON (COLONIA),True,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-008,ARENAL,COLONIA,AZCAPOTZALCO > ARENAL (COLONIA),True,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-009,BARRIO COLTONGO,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO COLTONGO (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-010,BARRIO HUAUTLA DE LAS SALINAS,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO HUAUTLA DE LAS SALINAS (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-011,BARRIO LOS REYES,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO LOS REYES (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-012,BARRIO NEXTENGO,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO NEXTENGO (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-013,BARRIO SAN ANDRES,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO SAN ANDRES (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-014,BARRIO SAN BERNABE,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO SAN BERNABE (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-015,BARRIO SAN MARCOS,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO SAN MARCOS (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-016,BARRIO SAN MATEO,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO SAN MATEO (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-017,BARRIO SANTA APOLONIA,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO SANTA APOLONIA (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-018,BARRIO SANTA LUCIA,PUEBLOS Y BARRIOS ORIGINARIOS,AZCAPOTZALCO > BARRIO SANTA LUCIA (PUEBLOS Y BARRIOS ORIGINARIOS),False,False,Polygon,2026-07-05
09,CIUDAD DE MÉXICO,002,AZCAPOTZALCO,002-019,CENTRO DE AZCAPOTZALCO,COLONIA,AZCAPOTZALCO > CENTRO DE AZCAPOTZALCO (COLONIA),True,False,Polygon,2026-07-05
