alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_falla_alumbrado,total_delitos_nocturnos
Azcapotzalco,Aguilera,7,23,0.0,6.0
Azcapotzalco,Aldana,3,45,0.0,8.0
Azcapotzalco,Ampliacion Cosmopolita,5,22,0.0,6.0
Azcapotzalco,Ampliacion Del Gas,13,73,2.0,22.0
Azcapotzalco,Ampliacion Petrolera,11,31,1.0,8.0
Azcapotzalco,Ampliacion San Pedro Xalpa,27,206,2.0,60.0
Azcapotzalco,Angel Zimbron,14,38,0.0,9.0
Azcapotzalco,Arenal,39,44,1.0,12.0
Azcapotzalco,Barrio Coltongo,9,42,3.0,13.0
Azcapotzalco,Barrio Los Reyes,1,48,0.0,14.0
Azcapotzalco,Barrio Nextengo,20,77,2.0,18.0
Azcapotzalco,Barrio San Andres,17,57,0.0,14.0
Azcapotzalco,Barrio San Marcos,12,82,1.0,23.0
Azcapotzalco,Barrio San Mateo,22,22,3.0,6.0
Azcapotzalco,Barrio Santa Apolonia,17,80,1.0,24.0
Azcapotzalco,Barrio Santa Lucia,7,16,0.0,4.0
Azcapotzalco,Centro De Azcapotzalco,22,221,2.0,52.0
Azcapotzalco,Claveria,50,181,4.0,47.0
Azcapotzalco,Coltongo,9,25,1.0,7.0
Azcapotzalco,Cosmopolita,10,40,0.0,13.0
Azcapotzalco,Del Gas,15,106,2.0,29.0
Azcapotzalco,Del Maestro,1,38,1.0,9.0
Azcapotzalco,Del Recreo,62,116,5.0,30.0
Azcapotzalco,El Jaguey,5,43,0.0,12.0
Azcapotzalco,El Rosario,151,360,9.0,99.0
Azcapotzalco,Estacion Pantaco,7,45,1.0,9.0
Azcapotzalco,Euzkadi,15,39,0.0,12.0
Azcapotzalco,Ex-Hacienda El Rosario,31,111,1.0,27.0
Azcapotzalco,Ferreria,1,17,0.0,6.0
Azcapotzalco,Ignacio Allende,11,16,2.0,2.0
Azcapotzalco,Industrial San Antonio,4,15,1.0,5.0
Azcapotzalco,Industrial Vallejo,24,216,3.0,48.0
Azcapotzalco,Jardin Azpeitia,2,46,0.0,10.0
Azcapotzalco,La Preciosa,24,48,2.0,13.0
Azcapotzalco,La Raza,7,81,1.0,23.0
Azcapotzalco,Las Salinas,15,14,2.0,5.0
Azcapotzalco,Liberacion,26,39,0.0,9.0
Azcapotzalco,Libertad,13,13,1.0,4.0
Azcapotzalco,Monte Alto,2,8,0.0,7.0
Azcapotzalco,Nueva El Rosario,5,54,0.0,16.0
Azcapotzalco,Nueva España,7,22,1.0,7.0
Azcapotzalco,Nueva Santa Maria,80,192,17.0,51.0
Azcapotzalco,Nuevo Barrio San Rafael,4,19,0.0,8.0
Azcapotzalco,Obrero Popular,13,79,0.0,25.0
Azcapotzalco,Pasteros,19,65,0.0,24.0
Azcapotzalco,Patrimonio Familiar,3,16,0.0,6.0
Azcapotzalco,Petrolera,22,56,7.0,12.0
Azcapotzalco,Plenitud,32,53,2.0,13.0
Azcapotzalco,Porvenir,5,46,0.0,13.0
Azcapotzalco,Potrero Del Llano,4,10,0.0,1.0
