categoria,total_delitos
DELITO DE BAJO IMPACTO,121047
ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,4401
ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,4185
HECHO NO DELICTIVO,3622
VIOLACIÓN,1596
ROBO A NEGOCIO CON VIOLENCIA,1042
ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,698
HOMICIDIO DOLOSO,562
LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,505
ROBO A REPARTIDOR CON Y SIN VIOLENCIA,408
ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,224
ROBO A CASA HABITACIÓN CON VIOLENCIA,126
ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,86
ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA,86
ROBO A TRANSPORTISTA CON Y SIN VIOLENCIA,24
SECUESTRO,7
