delito,total_delitos
VIOLENCIA FAMILIAR,22434
FRAUDE,13328
AMENAZAS,12136
ROBO DE ACCESORIOS DE AUTO,5680
ROBO DE OBJETOS,4989
USURPACIÓN DE IDENTIDAD,4470
ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,3566
ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3444
ABUSO SEXUAL,2714
DESPOJO,2227
ABUSO DE CONFIANZA,2225
DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,2192
LESIONES INTENCIONALES POR GOLPES,2055
ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS (TIENDAS DE AUTOSERVICIO),1871
ROBO A CASA HABITACION SIN VIOLENCIA,1847
ROBO DE MOTOCICLETA SIN VIOLENCIA,1630
NARCOMENUDEO POSESION SIMPLE,1606
LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,1594
ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,1572
ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,1495
ROBO A NEGOCIO SIN VIOLENCIA,1495
"NARCOMENUDEO POSESIÓN CON FINES DE VENTA, COMERCIO Y SUMINISTRO",1286
PERDIDA DE LA VIDA POR ENFERMEDAD,1274
TENTATIVA DE EXTORSION,1227
DELITOS ELECTORALES,1056
CONTRA LA INTIMIDAD SEXUAL,1055
COBRANZA ILEGITIMA,1039
VIOLACION EQUIPARADA,1000
ROBO DE PLACA DE AUTOMOVIL,991
ROBO A NEGOCIO CON VIOLENCIA,989
