tema,total_incidencias
OTRO,56417
FALTA DE AGUA,8295
ALUMBRADO,7101
PODA / RETIRO ARBOL,5761
FUGA DE AGUA,3991
MANTENIMIENTO VÍA PÚBLICA,3239
BACHEO,3066
VERIFICACIÓN ADMINISTRATIVA,2970
BARBECHO / CHAPONEO,2652
DESAZOLVE,2610
VEHÍCULO ABANDONADO / CHATARRIZACIÓN,1979
QUEJA DE TRANSPORTE PUBLICO,1808
"RETIRO CASCAJO, ESCOMBRO, AZOLVE, RAMAS",1724
SOLICITUD DE VIGILANCIA,1349
MANTENIMIENTO DE COLADERA / ALCANTARILLA,1312
RECOLECCIÓN BASURA,839
ASISTENCIA SOCIAL,825
MANTENIMIENTO PARQUE / AREA VERDE,781
QUEJA FUNCIONARIO,773
LIMPIEZA VIA PUBLICA,699
MANTENIMIENTO DRENAJE,671
PAVIMENTACION,637
TRAMITES / INFO VEHICULAR,441
MANTENIMIENTO SEMÁFOROS,423
BALIZAMIENTO,421
USO DE SUELO,322
RETIRO AMBULANTE,318
ASESORÍA JURÍDICA,257
PROTECCION CIVIL,257
ALERTA SISMICA,245
SOLICITUD EVALUACIÓN DE RIESGO,245
SOLICITUD/SEGURO DE DESEMPLEO,175
VENTA DE ALCOHOL / DROGA,105
SOLICITUD DE CONCERTACIÓN VECINAL,83
ASISTENCIA VETERINARIA,73
COVID,68
SOLICITUD ESTUDIO SOCIOECONOMICO,61
SOLICITUD DE VOLANTEO,38
BECAS,26
LLAVE CDMX,24
REPARACION DE EMPEDRADO,23
REINSCRIPCION AL CENDI,16
ALARMAS VECINALES,12
SOLICITUD DE AUDIENCIA,8
PROGRAMA APOYO A CUIDADORES,3
REGISTRO FERIAS INDIGENAS,2
CRÉDITO DE VIVIENDA,2
