alcaldia_norm,poblacion,total_delitos,total_alumbrado,total_delitos_nocturnos,tasa_delitos,tasa_alumbrado,tasa_delitos_nocturnos,prop_nocturnos,IRU,nivel_riesgo,lat,lon
Cuauhtemoc,531831,19141,509,4776,35.9907564621092,0.9570709492301126,8.980296372343846,24.951674416174704,100.0,Muy Alto,19.428,-99.153
Benito Juarez,434153,10020,187,2514,23.07942130999901,0.4307237310349116,5.79058534664047,25.08982035928144,42.0,Medio,19.372,-99.163
Iztacalco,424657,6075,257,1828,14.305663158737524,0.6051943097605833,4.304650576818467,30.090534979423865,41.7,Medio,19.396,-99.097
Coyoacan,614447,9281,372,2757,15.104638805299725,0.6054224367602087,4.486961446634128,29.705850662644114,41.5,Medio,19.335,-99.162
Iztapalapa,1835486,17846,192,5168,9.722765523681465,0.10460444808622893,2.8156030609876623,28.95887033508909,26.6,Medio,19.355,-99.053
Venustiano Carranza,427263,7545,47,2055,17.658912660352055,0.11000250431233222,4.80968396514559,27.236580516898606,21.2,Bajo,19.438,-99.105
Milpa Alta,152685,1445,75,421,9.46392900415889,0.49120738775911194,2.757310803287815,29.134948096885815,20.4,Bajo,19.192,-99.023
Tlalpan,699928,8837,193,2529,12.625584345818426,0.27574264781520386,3.613228789246894,28.618309381011652,17.1,Bajo,19.271,-99.169
Azcapotzalco,432205,5761,143,1539,13.329322890757858,0.33086151247671824,3.560810263648037,26.71411213331019,16.2,Bajo,19.487,-99.184
Miguel Hidalgo,414470,7954,57,1928,19.190773759258814,0.13752503196853813,4.651723888339324,24.2393764143827,15.4,Bajo,19.415,-99.2
Tlahuac,361593,4307,91,1239,11.91118190894182,0.2516641638527295,3.4265043847640855,28.767123287671232,14.3,Bajo,19.271,-99.004
Xochimilco,442178,4475,143,1300,10.120358769545296,0.32339917408826313,2.9399924917114824,29.05027932960894,13.5,Bajo,19.258,-99.104
Gustavo A. Madero,1173351,13255,388,3682,11.296704907568154,0.3306768392407728,3.1380209332075397,27.778196906827613,12.1,Bajo,19.483,-99.113
La Magdalena Contreras,247622,2747,22,832,11.093521577242733,0.08884509453925742,3.3599599389391894,30.28758645795413,10.4,Bajo,19.315,-99.253
Alvaro Obregon,759137,8573,178,2415,11.293086755091638,0.23447678087090998,3.1812439651867845,28.169835530152803,9.6,Bajo,19.358,-99.228
Cuajimalpa De Morelos,217686,2354,69,591,10.81374089284566,0.31697031504093054,2.7149196549157963,25.106202209005946,0.0,Bajo,19.359,-99.291
