alcaldia_catalogo,total_incidencias,total_delitos,total_alumbrado,total_delitos_nocturnos,lat,lon,lisa_total_delitos,moran_local_total_delitos,lisa_total_alumbrado,moran_local_total_alumbrado,lisa_total_delitos_nocturnos,moran_local_total_delitos_nocturnos,lisa_total_incidencias,moran_local_total_incidencias
Azcapotzalco,1795,5761,143,1539,19.482520201235,-99.187163145145,LH,-0.3461521484345039,NS,-0.14046742216897268,NS,-0.3225662146714805,NS,0.020243418589591826
Benito Juárez,1577,10020,187,2514,19.382313955838,-99.158358621913,NS,0.19545567032783415,HH,0.03305420358159476,NS,0.11130242415556704,NS,0.007109435859962159
Coyoacán,2252,9281,372,2757,19.3257209780245,-99.14380114382499,NS,0.012406264795691648,NS,0.2088840923462364,NS,0.02782775467422364,NS,0.008357838414028032
Cuajimalpa De Morelos,375,2354,69,591,19.362253748883,-99.288692665469,NS,0.17067633411722175,NS,0.4269453718726311,NS,0.26123362464464267,NS,0.1981161969144706
Cuauhtémoc,3343,19141,509,4776,19.426655723681,-99.148434285215,NS,-0.08539369626148262,NS,-0.7809932193819006,NS,-0.19280568023837646,NS,-0.07188316909849292
Gustavo A. Madero,2977,13255,388,3682,19.488879034982,-99.12291289669,NS,0.39358925198177847,NS,0.06789424150040807,NS,0.2721872222482287,NS,-0.029479289145301943
Iztacalco,2113,6075,257,1828,19.393652497312,-99.097144771167,LH,-0.4284949184562775,NS,0.19878339532720266,LH,-0.29519514984207734,NS,-0.06464511774467856
Iztapalapa,16313,17846,192,5168,19.3380727,-99.049892,NS,-0.7692171607379799,NS,0.01612939707733522,NS,-0.6922817758212351,NS,-0.7384964243097234
La Magdalena Contreras,223,2747,22,832,19.314624822913,-99.244107452579,NS,0.17173550472181767,NS,-0.17098642446675846,NS,0.11119420766998235,NS,0.15018814314891468
Miguel Hidalgo,776,7954,57,1928,19.4361884879305,-99.191399274524,NS,-0.01556896563894561,NS,-0.47118748890887807,NS,-0.0922436177185219,NS,0.04200198519254414
Milpa Alta,951,1445,75,421,19.199788230684,-99.037598511462,NS,-0.19455767287647463,NS,0.1576046379825061,NS,-0.3214857936356128,NS,-0.264974437002188
Tlalpan,1604,8837,193,2529,19.284020228962,-99.1713614240015,NS,-0.05150329269169916,NS,-0.0021271625914274085,NS,-0.06454338610822737,NS,0.059361676739533
Tláhuac,730,4307,91,1239,19.295090188055,-99.036257391576,NS,-0.02329592822565863,NS,-0.06154037921432618,NS,-0.09841684009279293,NS,-0.33017215893147256
Venustiano Carranza,698,7545,47,2055,19.429749431632,-99.108284180976,NS,-0.08541252748900852,LH,-1.0844356744395287,NS,-0.08739121442014897,NS,-0.00991784590687013
Xochimilco,1498,4475,143,1300,19.2501181257465,-99.08468228980149,NS,-0.0010733990675845496,NS,0.09342837792737407,NS,-0.05686305486082016,NS,-0.15755100038243622
Álvaro Obregón,1478,8573,178,2415,19.3598465376105,-99.212376686303,NS,-0.03606718651957297,NS,0.004957240382619424,NS,-0.05599876785555403,NS,0.08515252042272943
