alcaldia_catalogo,colonia_catalogo,total_incidencias,total_delitos,total_alumbrado,total_delitos_nocturnos,out_iqr_total_incidencias,out_zscore_total_incidencias,out_iqr_total_delitos,out_zscore_total_delitos,out_iqr_total_alumbrado,out_zscore_total_alumbrado,out_iqr_total_delitos_nocturnos,out_zscore_total_delitos_nocturnos,anomaly_score,out_isoforest,out_iqr_any,out_zscore_any,outlier_consenso
Azcapotzalco,Aguilera,7,23,0.0,6.0,False,False,False,False,False,False,False,False,0.2191711138020448,False,False,False,False
Azcapotzalco,Aldana,3,45,0.0,8.0,False,False,False,False,False,False,False,False,0.2178400600397386,False,False,False,False
Azcapotzalco,Ampliacion Cosmopolita,5,22,0.0,6.0,False,False,False,False,False,False,False,False,0.22112786338131796,False,False,False,False
Azcapotzalco,Ampliacion Del Gas,13,73,2.0,22.0,False,False,False,False,False,False,False,False,0.19041146879132753,False,False,False,False
Azcapotzalco,Ampliacion Petrolera,11,31,1.0,8.0,False,False,False,False,False,False,False,False,0.2100544853874562,False,False,False,False
Azcapotzalco,Ampliacion San Pedro Xalpa,27,206,2.0,60.0,False,False,False,False,False,False,False,False,0.1281892476754432,False,False,False,False
Azcapotzalco,Angel Zimbron,14,38,0.0,9.0,False,False,False,False,False,False,False,False,0.2160548352411123,False,False,False,False
Azcapotzalco,Arenal,39,44,1.0,12.0,False,False,False,False,False,False,False,False,0.19381705676755434,False,False,False,False
Azcapotzalco,Barrio Coltongo,9,42,3.0,13.0,False,False,False,False,False,False,False,False,0.19044723342442715,False,False,False,False
Azcapotzalco,Barrio Los Reyes,1,48,0.0,14.0,False,False,False,False,False,False,False,False,0.21057986679998436,False,False,False,False
Azcapotzalco,Barrio Nextengo,20,77,2.0,18.0,False,False,False,False,False,False,False,False,0.1891072835259731,False,False,False,False
Azcapotzalco,Barrio San Andres,17,57,0.0,14.0,False,False,False,False,False,False,False,False,0.21179711685976305,False,False,False,False
Azcapotzalco,Barrio San Marcos,12,82,1.0,23.0,False,False,False,False,False,False,False,False,0.19974244329338536,False,False,False,False
Azcapotzalco,Barrio San Mateo,22,22,3.0,6.0,False,False,False,False,False,False,False,False,0.17848840985652847,False,False,False,False
Azcapotzalco,Barrio Santa Apolonia,17,80,1.0,24.0,False,False,False,False,False,False,False,False,0.1986634894028882,False,False,False,False
Azcapotzalco,Barrio Santa Lucia,7,16,0.0,4.0,False,False,False,False,False,False,False,False,0.21400631040243756,False,False,False,False
Azcapotzalco,Centro De Azcapotzalco,22,221,2.0,52.0,False,False,True,False,False,False,False,False,0.1212740208745885,False,True,False,False
Azcapotzalco,Claveria,50,181,4.0,47.0,False,False,False,False,False,False,False,False,0.11867241406030404,False,False,False,False
Azcapotzalco,Coltongo,9,25,1.0,7.0,False,False,False,False,False,False,False,False,0.21391933244738914,False,False,False,False
Azcapotzalco,Cosmopolita,10,40,0.0,13.0,False,False,False,False,False,False,False,False,0.21601906898985562,False,False,False,False
Azcapotzalco,Del Gas,15,106,2.0,29.0,False,False,False,False,False,False,False,False,0.1795375678548911,False,False,False,False
Azcapotzalco,Del Maestro,1,38,1.0,9.0,False,False,False,False,False,False,False,False,0.20868998453724974,False,False,False,False
Azcapotzalco,Del Recreo,62,116,5.0,30.0,True,False,False,False,False,False,False,False,0.12693641390334554,False,True,False,False
Azcapotzalco,El Jaguey,5,43,0.0,12.0,False,False,False,False,False,False,False,False,0.21711463448562435,False,False,False,False
Azcapotzalco,El Rosario,151,360,9.0,99.0,True,False,True,False,True,False,True,False,-0.039031897840450025,True,True,False,True
Azcapotzalco,Estacion Pantaco,7,45,1.0,9.0,False,False,False,False,False,False,False,False,0.21274201209872606,False,False,False,False
Azcapotzalco,Euzkadi,15,39,0.0,12.0,False,False,False,False,False,False,False,False,0.2131125534191885,False,False,False,False
Azcapotzalco,Ex-Hacienda El Rosario,31,111,1.0,27.0,False,False,False,False,False,False,False,False,0.17326973538967322,False,False,False,False
Azcapotzalco,Ferreria,1,17,0.0,6.0,False,False,False,False,False,False,False,False,0.21654507401581846,False,False,False,False
Azcapotzalco,Ignacio Allende,11,16,2.0,2.0,False,False,False,False,False,False,False,False,0.1785741156282174,False,False,False,False
Azcapotzalco,Industrial San Antonio,4,15,1.0,5.0,False,False,False,False,False,False,False,False,0.2084031974189477,False,False,False,False
Azcapotzalco,Industrial Vallejo,24,216,3.0,48.0,False,False,True,False,False,False,False,False,0.11820026467714545,False,True,False,False
Azcapotzalco,Jardin Azpeitia,2,46,0.0,10.0,False,False,False,False,False,False,False,False,0.21553218450491224,False,False,False,False
Azcapotzalco,La Preciosa,24,48,2.0,13.0,False,False,False,False,False,False,False,False,0.19724026861121302,False,False,False,False
