alcaldia,colonia,total_delitos
Cdmx (Indeterminada),Desconocida,5181
Cuauhtémoc,Centro,4067
Cuauhtémoc,Doctores,2339
Desconocida,Desconocida,2038
Fuera De Cdmx,Desconocida,1778
Cuauhtémoc,Roma Norte,1359
Iztacalco,Agricola Oriental,1326
Cuauhtémoc,Juarez,1315
Coyoacán,Pedregal De Santo Domingo,1033
Iztacalco,Agricola Pantitlan,914
Cuauhtémoc,Guerrero,903
Venustiano Carranza,Jardin Balbuena,857
Cuauhtémoc,Morelos,819
Cuauhtémoc,Buenavista,812
Cuauhtémoc,Hipodromo,764
Cuauhtémoc,Santa Maria La Ribera,750
Cuauhtémoc,Cuauhtemoc,687
Cuauhtémoc,Obrera,677
Benito Juárez,Del Valle Centro,673
Venustiano Carranza,Moctezuma 2A. Seccion,673
Iztacalco,Granjas Mexico,647
Benito Juárez,Narvarte Poniente,636
Cuauhtémoc,Roma Sur,611
Benito Juárez,Del Valle Sur,593
Coyoacán,Ajusco,578
Iztapalapa,Central De Abasto,533
Benito Juárez,Santa Cruz Atoyac,531
Iztapalapa,Chinampac De Juarez,528
Benito Juárez,Del Valle Norte,520
Venustiano Carranza,Zona Centro,500
Cuauhtémoc,Nonoalco Tlatelolco,492
Benito Juárez,Napoles,491
Benito Juárez,Narvarte Oriente,488
Iztapalapa,Desarrollo Urbano Quetzalcoatl,458
Gustavo A. Madero,Magdalena De Las Salinas,444
Iztapalapa,Lomas De San Lorenzo,442
Cuauhtémoc,San Rafael,441
Tlalpan,Pueblo San Miguel Topilejo,439
Coyoacán,Pedregal De Santa Ursula,429
Coyoacán,Del Carmen,427
Venustiano Carranza,Morelos,421
Benito Juárez,Xoco,420
Benito Juárez,Alamos,420
Gustavo A. Madero,San Felipe De Jesus,415
Miguel Hidalgo,Polanco V Seccion,409
Benito Juárez,San Pedro De Los Pinos,404
Iztapalapa,Unidad Vicente Guerrero,399
Tlalpan,Desconocida,394
Iztapalapa,Juan Escutia,387
Gustavo A. Madero,Guadalupe Tepeyac,380
