alcaldia,colonia,total_incidencias
Desconocida,Desconocida,45590
Iztapalapa,Polvorilla,4602
Iztapalapa,Santa Maria Aztahuacan,2600
Iztapalapa,La Polvorilla,2117
Iztapalapa,Mixcoatl,1856
Iztapalapa,El Triangulo,1559
Iztapalapa,San Lucas,1367
Iztapalapa,Buenavista,1187
Iztapalapa,San Miguel Teotongo,1184
Iztapalapa,Leyes De Reforma 3A Seccion,1025
Iztapalapa,San Sebastian Tecoloxtitlan,959
Iztapalapa,Arboledas,897
Iztapalapa,Paraje Zacatepec,852
Iztapalapa,Pueblo San Lorenzo Tezonco,736
Iztapalapa,Desarrollo Urbano Quetzalcoatl,735
Iztapalapa,Tenorios,731
Iztapalapa,Lomas Estrella 2A Secc,724
Iztapalapa,San Miguel,677
Iztapalapa,Pueblo Santa Maria Aztahuacan,649
Iztapalapa,Consejo Agrarista Mexicano,645
Iztapalapa,Cerro De La Estrella,631
Xochimilco,Año De Juarez,617
Iztapalapa,El Molino Tezonco,592
Iztacalco,Agricola Oriental,578
Iztapalapa,Ixtlahuacan,569
Iztapalapa,Xalpa,565
Iztapalapa,San Juan Xalpa,538
Iztapalapa,Carlos Hank Gonzalez,520
Cuauhtémoc,Doctores,510
Iztapalapa,Valle De Luces,506
Cuauhtémoc,Centro,454
Iztapalapa,Fuego Nuevo,451
Iztapalapa,Sideral,447
Iztapalapa,El Manto,401
Iztapalapa,Citlalli,352
Iztapalapa,Francisco Villa,351
Iztapalapa,Unidad Santa Cruz Meyehualco,335
Iztapalapa,Jose Lopez Portillo,307
Iztapalapa,Santa Martha Acatitla,303
Iztapalapa,Santa Martha Acatitla Sur,300
Iztapalapa,Miguel De La Madrid Hurtado,299
Iztapalapa,Granjas Estrella,295
Iztacalco,Agricola Pantitlan,293
Iztapalapa,Unidad Vicente Guerrero,269
Iztapalapa,Paraje San Juan,258
Coyoacán,Pedregal De Santo Domingo,235
Iztapalapa,El Eden,231
Iztapalapa,San Miguel Teotongo Secc Ranchito,226
Cuauhtémoc,Roma Norte,222
Iztapalapa,Ermita Zaragoza,216
